Participant;Data
Testie1;Time;State;Player Position X;Player Position Y;Player Position Z;Monster Position X;Monster Position Y;Monster Position Z;CurrentDeath
Testie1;0:06:698;Game;-7.486697;-3.47;14.10701;7.130001;-3.171168;78.16;0
Testie1;0:06:865;Game;-7.486697;-3.47;14.10701;7.130001;-3.171168;78.16;0
Testie1;0:07:031;Game;-7.906507;-3.47;14.62506;7.130001;-3.171168;78.16;0
Testie1;0:07:197;Game;-8.293014;-3.47;15.16813;7.130001;-3.171168;78.16;0
Testie1;0:07:331;Game;-8.594443;-3.47;15.60795;7.130001;-3.171168;78.16;0
Testie1;0:07:498;Game;-8.866261;-3.47;16.2156;7.130001;-3.171168;78.16;0
Testie1;0:07:665;Game;-8.948423;-3.47;16.46922;7.130001;-3.171168;78.16;0
Testie1;0:07:831;Game;-8.948423;-3.47;16.46922;7.130001;-3.171168;78.16;0
Testie1;0:07:998;Game;-8.962846;-3.47;16.73553;7.130001;-3.171168;78.16;0
Testie1;0:08:131;Game;-8.990756;-3.47;17.26807;7.130001;-3.171168;78.16;0
Testie1;0:08:298;Game;-9.025655;-3.47;17.93398;7.130001;-3.171168;78.16;0
Testie1;0:08:464;Game;-9.060539;-3.47;18.5996;7.130001;-3.171168;78.16;0
Testie1;0:08:631;Game;-9.08776;-3.47;19.26567;7.130001;-3.171168;78.16;0
Testie1;0:08:798;Game;-9.049385;-3.47;19.93122;7.130001;-3.171168;78.16;0
Testie1;0:08:931;Game;-9.01869;-3.47;20.46357;7.130001;-3.171168;78.16;0
Testie1;0:09:098;Game;-8.980309;-3.47;21.12922;7.130001;-3.171168;78.16;0
Testie1;0:09:264;Game;-8.922464;-3.47;21.7931;7.130001;-3.171168;78.16;0
Testie1;0:09:431;Game;-8.704533;-3.47;22.41823;7.130001;-3.171168;78.16;0
Testie1;0:09:599;Game;-8.24756;-3.47;22.89639;7.130001;-3.171168;78.16;0
Testie1;0:09:732;Game;-7.812863;-3.47;23.20559;7.130001;-3.171168;78.16;0
Testie1;0:09:898;Game;-7.280998;-3.47;23.60696;7.130001;-3.171168;78.16;0
Testie1;0:10:065;Game;-6.757749;-3.47;24.0202;7.130001;-3.171168;78.16;0
Testie1;0:10:232;Game;-6.200026;-3.47;24.37916;7.130001;-3.171168;78.16;0
Testie1;0:10:398;Game;-5.545607;-3.47;24.47536;7.130001;-3.171168;78.16;0
Testie1;0:10:532;Game;-5.019447;-3.47;24.38848;7.130001;-3.171168;78.16;0
Testie1;0:10:698;Game;-4.363873;-3.47;24.26816;7.130001;-3.171168;78.16;0
Testie1;0:10:864;Game;-3.708143;-3.47;24.14782;7.130001;-3.171168;78.16;0
Testie1;0:11:031;Game;-3.050887;-3.47;24.03642;7.130001;-3.171168;78.16;0
Testie1;0:11:198;Game;-2.385286;-3.47;24.01341;7.130001;-3.171168;78.16;0
Testie1;0:11:331;Game;-1.852152;-3.47;24.0304;7.130001;-3.171168;78.16;0
Testie1;0:11:498;Game;-1.186108;-3.47;24.06064;7.130001;-3.171168;78.16;0
Testie1;0:11:665;Game;-0.520157;-3.47;24.09088;7.130001;-3.171168;78.16;0
Testie1;0:11:831;Game;0.1458151;-3.47;24.12112;7.130001;-3.171168;78.16;0
Testie1;0:11:998;Game;0.8117836;-3.47;24.15137;7.130001;-3.171168;78.16;0
Testie1;0:12:131;Game;1.344529;-3.47;24.17556;7.130001;-3.171168;78.16;0
Testie1;0:12:298;Game;2.010446;-3.47;24.2058;7.130001;-3.171168;78.16;0
Testie1;0:12:464;Game;2.676804;-3.47;24.22278;7.130001;-3.171168;78.16;0
Testie1;0:12:631;Game;3.343193;-3.47;24.2037;7.130001;-3.171168;78.16;0
Testie1;0:12:798;Game;4.009579;-3.47;24.18393;7.130001;-3.171168;78.16;0
Testie1;0:12:931;Game;4.542714;-3.47;24.1681;7.130001;-3.171168;78.16;0
Testie1;0:13:098;Game;5.208941;-3.47;24.14786;7.130001;-3.171168;78.16;0
Testie1;0:13:265;Game;5.874559;-3.47;24.10972;7.130001;-3.171168;78.16;0
Testie1;0:13:431;Game;6.538383;-3.47;24.04884;7.130001;-3.171168;78.16;0
